O usuário, soares, usou a calculadora as 2023-10-29T19:36:35.282446 e fez a operacao a seguir, sum, 2, 2 = 4
O usuário, soares, usou a calculadora as 19:39:52 e fez a operacao a seguir, sum, 2, 2 = 4
O usuário, alex, usou a calculadora as 19:56:19 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:13:56 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:13 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:15 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:23 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:24 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:24 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:25 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:25 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:26 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:26 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:26 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:27 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:27 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:27 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:27 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:28 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:28 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:28 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:14:29 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:15:12 e fez a operacao a seguir, sum, 8, 8 = 16
O usuário, alex, usou a calculadora as 23:15:15 e fez a operacao a seguir, sum, 8, 8 = 16
